"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Dec 23 03:47:55 GMT 2023","Sat Dec 23 03:47:56 GMT 2023","171","Contact management","Contacts","","","","Update multiple contacts",""
"passed","Sat Dec 23 03:47:50 GMT 2023","Sat Dec 23 03:47:50 GMT 2023","175","Transactional","SMS statistics","","","","Get all your SMS activity (unaggregated events)",""
"failed","Sat Dec 23 03:47:49 GMT 2023","Sat Dec 23 03:47:49 GMT 2023","166","Transactional","Inbound Email Parsing","","","","Fetch all events history for one particular received email.",""
"failed","Sat Dec 23 03:48:12 GMT 2023","Sat Dec 23 03:48:12 GMT 2023","154","eCommerce","Orders","","","","Create/update an order",""
"failed","Sat Dec 23 03:47:45 GMT 2023","Sat Dec 23 03:47:46 GMT 2023","205","Transactional","Email API","","","","Get the list of transactional emails on the basis of allowed filters",""
"passed","Sat Dec 23 03:48:09 GMT 2023","Sat Dec 23 03:48:09 GMT 2023","150","Sales CRM","Tasks","","","","Get all task types",""
"failed","Sat Dec 23 03:47:59 GMT 2023","Sat Dec 23 03:47:59 GMT 2023","153","Contact management","Attributes","","","","Create contact attribute",""
"failed","Sat Dec 23 03:47:53 GMT 2023","Sat Dec 23 03:47:53 GMT 2023","150","Marketing","SMS Campaigns","","","","Creates an SMS campaign",""
"passed","Sat Dec 23 03:48:13 GMT 2023","Sat Dec 23 03:48:13 GMT 2023","147","eCommerce","Categories","","","","Get a category details",""
"passed","Sat Dec 23 03:47:49 GMT 2023","Sat Dec 23 03:47:49 GMT 2023","145","Transactional","Logs","","","","Delete an SMTP transactional log",""
"passed","Sat Dec 23 03:48:00 GMT 2023","Sat Dec 23 03:48:00 GMT 2023","184","Accounts and settings","Webhooks","","","","Get a webhook details",""
"passed","Sat Dec 23 03:47:55 GMT 2023","Sat Dec 23 03:47:55 GMT 2023","168","Marketing","WhatsApp Campaigns","","","","Return all your created WhatsApp campaigns",""
"failed","Sat Dec 23 03:48:11 GMT 2023","Sat Dec 23 03:48:12 GMT 2023","171","Conversations","Status","","","","Sets agent’s status to online for 2-3 minutes",""
"passed","Sat Dec 23 03:48:06 GMT 2023","Sat Dec 23 03:48:06 GMT 2023","171","Accounts and settings","Domains","","","","Authenticate a domain",""
"passed","Sat Dec 23 03:47:53 GMT 2023","Sat Dec 23 03:47:54 GMT 2023","155","Marketing","SMS Campaigns","","","","Delete an SMS campaign",""
